gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC111095529	0	5	0	1	0	0	0	0	0
gene-LOC111095530	0	0	0	2	0	0	0	0	3
gene-LOC111090660	0	0	0	0	0	0	0	0	0
gene-LOC611679	0	0	0	0	0	0	0	0	0
gene-ADAT2	978	1007	1022	757	607	799	790	816	681
gene-PEX3	1298	1166	1180	1127	909	928	884	980	1068
gene-LOC111095543	0	0	0	2	0	0	0	4	0
gene-FUCA2	1031	1236	1636	1063	579	1220	1716	1259	1862
gene-LOC102151921	0	0	9	7	1	2	0	2	1
gene-LOC111095548	7	4	0	17	3	2	4	3	8
gene-PHACTR2	3248	3516	6223	4055	2851	4730	3170	2196	4785
gene-LOC119870688	0	0	0	0	2	0	0	0	0
gene-LOC100856400	3	14	6	7	5	3	1	2	1
gene-LTV1	4871	3239	2126	2558	2687	1835	2926	4033	1901
gene-ZC2HC1B	259	198	77	113	143	76	122	193	85
gene-PLAGL1	1626	1679	1276	1140	814	1018	2556	1730	1211
gene-LOC119870998	7	2	1	2	3	1	2	2	1
gene-SF3B5	4614	3186	3359	2747	2757	2051	2668	3356	2544
gene-LOC100687865	0	0	0	0	0	0	0	0	0
gene-STX11	4290	3999	2768	3200	2955	1652	6114	4416	5264
gene-LOC106558637	16	11	24	1	1	11	27	23	10
gene-TRNAL-UAA	0	0	0	0	0	0	0	0	0
gene-LOC100856481	0	0	0	0	0	0	0	0	0
gene-LOC119870746	0	0	0	0	0	8	0	1	6
