gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC119870728	0	1	0	0	5	2	3	1	0
gene-LOC119870645	0	0	0	0	0	0	0	0	0
gene-CCN2	11	13	12	7	0	4	3	3	6
gene-LOC119870729	0	0	0	0	0	0	0	0	0
gene-LOC102156553	0	0	0	0	0	0	0	0	0
gene-LOC100686253	0	0	0	1	1	0	0	0	0
gene-LOC111095255	0	0	0	0	0	0	0	0	0
gene-LOC119869954	0	0	0	0	0	0	0	0	0
gene-LOC111095250	0	0	0	0	0	0	0	0	0
gene-LOC476204	0	3	2	0	0	0	0	0	0
gene-LOC119870646	0	0	0	0	0	0	0	0	0
gene-LOC491231	1	2	0	0	1	0	0	0	0
gene-LOC100684412	1	0	0	0	0	0	0	0	0
gene-MOXD1	0	0	0	0	0	0	0	0	3
gene-LOC111095249	0	0	0	0	0	0	0	0	0
gene-LOC119869889	0	0	0	0	0	0	0	0	0
gene-LOC119870730	0	0	0	0	0	3	0	0	0
gene-STX7	692	833	1038	599	399	571	1960	1590	1493
gene-LOC119870647	0	0	0	0	0	0	0	0	0
gene-TAAR5	0	0	0	0	0	0	0	0	0
gene-TAAR4	0	0	0	0	0	0	0	0	0
gene-LOC100686959	0	0	0	0	0	0	0	0	0
gene-LOC119870995	0	0	0	0	0	0	0	0	0
gene-LOC119881354	0	0	0	0	0	0	0	0	0
gene-LOC119879232	0	0	0	0	0	0	0	0	0
gene-LOC119881370	0	0	0	0	0	0	0	0	0
gene-LOC119881355	0	0	0	0	0	0	0	0	0
gene-LOC119875955	0	0	0	0	0	0	0	0	0
gene-LOC119874067	0	0	0	0	0	1	0	0	0
gene-VNN1	21	41	21	20	5	8	48	11	65
gene-LOC119869965	0	0	0	0	0	0	0	0	0
gene-VNN3	0	0	0	0	0	0	0	0	0
gene-LOC119875957	12	11	2	1	2	1	9	4	34
gene-LOC119870648	9	5	2	6	1	7	10	1	10
gene-LOC119876023	0	0	0	0	0	0	0	0	0
gene-LOC119876022	0	0	0	0	0	0	0	0	0
gene-LOC102155332	0	0	0	0	0	0	0	0	0
gene-SLC18B1	105	70	59	7	5	15	25	24	22
gene-LOC111095265	223	228	165	147	186	99	117	180	146
gene-RPS12	28653	27103	19933	22256	18823	15715	20866	22510	17697
gene-LOC119869906	48	25	27	27	33	26	37	73	13
gene-LOC119869922	14	34	16	22	18	13	10	23	8
gene-LOC119869914	4	8	10	27	8	25	12	27	4
gene-LOC119869895	2	0	3	0	0	0	5	0	0
gene-LOC119871045	0	0	0	0	0	0	0	0	0
gene-LOC119870731	0	0	0	0	0	0	0	0	0
gene-LOC111095273	0	0	0	0	0	0	0	0	0
gene-LOC476208	0	0	0	0	0	0	0	0	0
gene-LOC119870732	0	0	0	0	0	0	0	0	0
gene-LOC111095280	0	0	0	0	0	0	0	0	0
gene-EYA4	0	0	2	0	0	0	0	0	2
gene-LOC111095294	0	0	0	0	0	0	0	0	0
gene-LOC100684703	0	0	0	0	0	0	0	2	0
gene-LOC102156588	0	0	0	0	0	0	0	0	0
gene-LOC119869957	0	0	0	0	0	0	0	0	0
gene-LOC119875901	0	0	0	0	0	0	0	1	0
gene-TCF21	0	0	3	2	0	18	3	5	0
gene-LOC119870649	0	0	0	0	0	2	0	0	0
gene-LOC119881371	0	0	0	0	0	3	0	0	0
gene-TBPL1	403	373	298	351	300	211	365	362	294
gene-SLC2A12	8	5	3	8	2	3	11	2	7
gene-LOC119869951	0	0	0	0	0	0	0	0	0
gene-SGK1	1599	2316	1269	1177	1067	693	1762	2323	1174
gene-LOC119869853	0	0	0	0	0	0	0	0	0
gene-LOC119870650	0	0	0	0	0	0	0	0	0
gene-LOC106558449	16	10	33	4	8	1	19	5	27
gene-LOC106559542	0	0	0	0	0	0	0	0	0
gene-LOC111095317	0	0	0	0	0	0	0	0	0
gene-LOC119870651	0	4	0	4	3	0	9	5	3
gene-ALDH8A1	70	93	37	37	26	35	107	67	34
gene-HBS1L	3342	3313	2188	2613	2360	1649	3023	2947	2244
gene-LOC100684930	0	0	0	0	0	0	0	0	0
gene-MYB	1938	1285	344	943	1610	254	1285	1744	894
gene-LOC111095371	673	431	120	271	506	116	490	559	346
gene-AHI1	1174	1132	1054	951	786	642	1499	1372	1469
gene-LOC102156675	0	0	0	1	0	0	0	0	0
gene-LOC119870735	0	0	0	0	0	0	0	3	0
gene-LOC119870734	0	0	0	0	3	0	0	0	0
gene-LOC102153001	78	55	50	41	22	49	63	47	60
gene-LOC102152959	0	0	0	0	0	0	4	0	0
gene-LOC102153582	0	0	0	0	0	0	0	0	0
gene-PDE7B	0	8	18	3	2	12	30	8	43
gene-LOC111095400	0	0	3	0	0	2	0	0	0
gene-MTFR2	3404	1391	1054	1556	2087	849	1149	1452	1005
gene-LOC106558619	7	0	2	6	6	0	3	8	3
gene-BCLAF1	7902	7237	5389	5510	5955	3755	6113	7016	4816
gene-LOC106558576	571	588	461	482	426	360	365	504	382
gene-MAP7	11	8	20	20	13	13	25	22	11
gene-LOC102154283	167	163	183	188	132	191	119	116	191
gene-MAP3K5	866	1003	1164	1173	941	1078	869	591	1072
gene-LOC102156750	0	5	1	12	7	11	0	8	1
gene-LOC119870737	33	17	34	13	23	28	27	17	7
gene-PEX7	788	1016	827	722	515	568	545	561	668
gene-SLC35D3	0	0	0	1	0	0	2	1	0
gene-LOC100856045	0	0	0	0	0	0	0	0	0
gene-IL20RA	0	0	0	0	0	0	0	0	0
gene-LOC111090644	0	0	0	1	0	0	0	0	0
gene-LOC119870738	3	1	1	10	3	0	2	1	1
gene-IL22RA2	197	254	234	263	570	231	278	321	319
gene-LOC119869884	0	0	0	2	0	0	0	0	0
gene-LOC102155014	194	167	182	136	165	146	137	108	119
gene-IFNGR1	6853	6612	7446	8263	5374	7098	7334	5560	7583
gene-LOC102155165	5	10	0	105	62	74	15	2	19
gene-LOC111090647	0	0	0	0	0	0	24	12	12
gene-LOC100685599	0	0	0	0	0	0	0	0	0
gene-OLIG3	5	1	3	1	9	0	4	0	0
gene-LOC111090650	0	0	0	0	0	0	0	0	0
gene-LOC100685756	0	0	0	0	0	0	0	0	0
gene-LOC119870652	0	16	1	5	0	10	0	0	0
gene-TNFAIP3	3616	3861	2465	3515	2337	1651	5103	3166	4212
gene-LOC111090653	0	0	0	0	0	0	0	0	0
gene-LOC119870653	0	0	0	0	0	0	0	0	0
gene-PERP	419	516	146	481	1245	90	769	1242	193
gene-ARFGEF3	0	21	12	27	10	11	35	16	3
gene-LOC102156831	0	0	0	0	0	0	0	0	0
gene-LOC111095455	0	0	1	0	0	0	7	1	0
gene-LOC111095460	0	0	0	0	0	0	0	0	0
gene-HEBP2	8	0	0	0	0	3	2	1	1
gene-NHSL1	17	7	6	4	17	3	34	18	26
gene-FAM133B	81	94	84	76	75	65	86	74	54
gene-CCDC28A	315	463	316	309	178	149	474	267	357
gene-LOC100856236	0	0	4	0	0	0	0	0	0
gene-ECT2L	110	118	77	90	91	66	91	75	92
gene-LOC119870739	0	0	4	0	0	0	0	0	0
gene-REPS1	3113	2185	1873	1714	1720	1273	2172	1996	1761
gene-ABRACL	3986	5687	4229	3629	3185	3349	3125	3107	3934
gene-HECA	3887	6626	6810	5681	2477	4982	3867	2183	5550
gene-TXLNB	20	53	97	33	25	40	118	60	132
gene-CITED2	2152	2838	2552	2575	1711	1902	4621	3007	3566
gene-LOC102156887	0	0	0	2	0	0	1	0	0
gene-LOC106558610	0	0	0	0	0	0	0	0	0
gene-LOC106558606	0	0	0	0	0	0	1	2	1
gene-LOC111095494	0	0	0	2	0	0	0	0	1
gene-LOC119870740	1	4	4	5	3	10	24	9	8
gene-LOC119870654	0	0	0	0	0	0	0	0	0
gene-LOC111090654	0	0	0	0	0	0	0	0	0
gene-LOC611622	1	0	0	1	0	1	0	0	1
gene-LOC106558957	0	1	0	3	0	4	3	0	0
gene-LOC106558612	0	0	0	0	0	0	0	0	0
gene-LOC102157010	0	0	0	0	0	0	0	0	0
gene-LOC100686429	0	0	0	0	0	0	0	0	0
gene-LOC102157053	0	0	0	0	0	0	0	0	0
gene-NMBR	7	5	12	1	9	0	2	9	0
gene-GJE1	0	0	0	0	0	0	0	0	0
gene-VTA1	746	660	655	490	380	308	741	532	673
gene-ADGRG6	3	0	0	0	0	0	1	1	6
gene-LOC100686509	0	0	0	0	0	0	0	0	0
gene-HIVEP2	4763	4757	3828	3674	2538	2746	2459	1267	3654
gene-LOC100856282	21	1	2	1	1	6	3	4	3
gene-LOC111090656	0	0	0	0	0	0	0	0	0
gene-AIG1	237	254	218	289	270	291	274	305	353
gene-LOC111095529	0	2	0	1	0	0	0	0	0
gene-LOC111095530	0	0	0	1	0	0	0	0	1
gene-LOC111090660	0	0	0	0	0	0	0	0	0
gene-LOC611679	0	0	0	0	0	0	0	0	0
gene-ADAT2	467	447	502	370	303	427	377	400	348
gene-PEX3	656	582	596	629	474	432	428	499	568
gene-LOC111095543	0	0	0	1	0	0	0	0	0
gene-FUCA2	530	609	843	545	299	629	853	631	878
gene-LOC102151921	0	0	5	4	0	0	0	1	0
gene-LOC111095548	6	3	0	5	1	2	2	3	3
gene-PHACTR2	1612	1822	3112	2006	1400	2347	1627	1034	2354
gene-LOC119870688	0	0	0	0	2	0	0	0	0
gene-LOC100856400	1	10	4	2	2	1	1	2	1
gene-LTV1	2420	1604	1060	1251	1309	954	1412	2017	928
gene-ZC2HC1B	356	269	210	136	137	140	341	311	234
gene-PLAGL1	1047	1022	850	702	496	585	1500	1096	777
gene-LOC119870998	4	1	1	4	1	1	3	1	1
gene-SF3B5	2400	1653	1790	1385	1446	1022	1386	1636	1320
gene-LOC100687865	0	0	0	0	0	0	0	0	0
