gene_set	genes	metric	reprocessed_sample	published_sample	correlation
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	B_BC_CAR_T	0.902501147635915
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	B_T_cell	0.8956845994089093
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	E_B7H3_CAR_T	0.9145546611404952
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	E_BC_CAR_T	0.8933899006432519
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	E_T_cell	0.9039426738611347
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	M_B7H3_CAR_T	0.8420094540619915
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	M_BC_CAR_T	0.822448965004559
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	M_T_cell	0.8686156187726551
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	B_B7H3_CAR_T	0.9111873137961942
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	B_BC_CAR_T	0.8984680206332766
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	B_T_cell	0.8803231573363723
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	E_B7H3_CAR_T	0.9051710814142432
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	E_BC_CAR_T	0.9220451656649438
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	E_T_cell	0.8831635223665111
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	M_B7H3_CAR_T	0.8538847475540855
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	M_BC_CAR_T	0.8612500592463627
CPM1_both_at_least3_samples	9690	spearman_abundance	E_BC_CAR_T	M_T_cell	0.8632382576324559
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	B_B7H3_CAR_T	0.8580419909338233
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	B_BC_CAR_T	0.8864222648436916
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	B_T_cell	0.8949474878554634
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	E_B7H3_CAR_T	0.8980727696307022
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	E_BC_CAR_T	0.8663005295704431
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	E_T_cell	0.9097056686492463
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	M_B7H3_CAR_T	0.8236144467023488
