published_symbol	reason
ENSCAFG00000006666	missing_exact_ROS_symbol
ENSCAFG00000006671	missing_exact_ROS_symbol
ENSCAFG00000006726	missing_exact_ROS_symbol
ENSCAFG00000006734	missing_exact_ROS_symbol
ENSCAFG00000006738	missing_exact_ROS_symbol
ENSCAFG00000006775	missing_exact_ROS_symbol
ENSCAFG00000006797	missing_exact_ROS_symbol
ENSCAFG00000006821	missing_exact_ROS_symbol
ENSCAFG00000006847	missing_exact_ROS_symbol
ENSCAFG00000006853	missing_exact_ROS_symbol
ENSCAFG00000006873	missing_exact_ROS_symbol
ENSCAFG00000006896	missing_exact_ROS_symbol
ENSCAFG00000006899	missing_exact_ROS_symbol
ENSCAFG00000006913	missing_exact_ROS_symbol
ENSCAFG00000006926	missing_exact_ROS_symbol
ENSCAFG00000006927	missing_exact_ROS_symbol
ENSCAFG00000006946	missing_exact_ROS_symbol
ENSCAFG00000007002	missing_exact_ROS_symbol
ENSCAFG00000007015	missing_exact_ROS_symbol
ENSCAFG00000007029	missing_exact_ROS_symbol
ENSCAFG00000007079	missing_exact_ROS_symbol
ENSCAFG00000007094	missing_exact_ROS_symbol
ENSCAFG00000007099	missing_exact_ROS_symbol
ENSCAFG00000007106	missing_exact_ROS_symbol
ENSCAFG00000007112	missing_exact_ROS_symbol
ENSCAFG00000007115	missing_exact_ROS_symbol
ENSCAFG00000007165	missing_exact_ROS_symbol
ENSCAFG00000007171	missing_exact_ROS_symbol
ENSCAFG00000007173	missing_exact_ROS_symbol
ENSCAFG00000007241	missing_exact_ROS_symbol
ENSCAFG00000007270	missing_exact_ROS_symbol
ENSCAFG00000007296	missing_exact_ROS_symbol
ENSCAFG00000007307	missing_exact_ROS_symbol
ENSCAFG00000007327	missing_exact_ROS_symbol
ENSCAFG00000007340	missing_exact_ROS_symbol
ENSCAFG00000007374	missing_exact_ROS_symbol
ENSCAFG00000007385	missing_exact_ROS_symbol
ENSCAFG00000007407	missing_exact_ROS_symbol
ENSCAFG00000007461	missing_exact_ROS_symbol
ENSCAFG00000007479	missing_exact_ROS_symbol
ENSCAFG00000007483	missing_exact_ROS_symbol
ENSCAFG00000007487	missing_exact_ROS_symbol
ENSCAFG00000007532	missing_exact_ROS_symbol
ENSCAFG00000007544	missing_exact_ROS_symbol
ENSCAFG00000007550	missing_exact_ROS_symbol
ENSCAFG00000007554	missing_exact_ROS_symbol
ENSCAFG00000007572	missing_exact_ROS_symbol
ENSCAFG00000007610	missing_exact_ROS_symbol
ENSCAFG00000007622	missing_exact_ROS_symbol
ENSCAFG00000007675	missing_exact_ROS_symbol
ENSCAFG00000007678	missing_exact_ROS_symbol
ENSCAFG00000007705	missing_exact_ROS_symbol
ENSCAFG00000007716	missing_exact_ROS_symbol
ENSCAFG00000007743	missing_exact_ROS_symbol
ENSCAFG00000007757	missing_exact_ROS_symbol
ENSCAFG00000007808	missing_exact_ROS_symbol
ENSCAFG00000007816	missing_exact_ROS_symbol
ENSCAFG00000007829	missing_exact_ROS_symbol
ENSCAFG00000007830	missing_exact_ROS_symbol
ENSCAFG00000007840	missing_exact_ROS_symbol
ENSCAFG00000007865	missing_exact_ROS_symbol
ENSCAFG00000007869	missing_exact_ROS_symbol
ENSCAFG00000007919	missing_exact_ROS_symbol
ENSCAFG00000007942	missing_exact_ROS_symbol
ENSCAFG00000008008	missing_exact_ROS_symbol
ENSCAFG00000008047	missing_exact_ROS_symbol
ENSCAFG00000008060	missing_exact_ROS_symbol
ENSCAFG00000008104	missing_exact_ROS_symbol
ENSCAFG00000008109	missing_exact_ROS_symbol
ENSCAFG00000008117	missing_exact_ROS_symbol
ENSCAFG00000008119	missing_exact_ROS_symbol
ENSCAFG00000008154	missing_exact_ROS_symbol
ENSCAFG00000008160	missing_exact_ROS_symbol
ENSCAFG00000008186	missing_exact_ROS_symbol
ENSCAFG00000008221	missing_exact_ROS_symbol
ENSCAFG00000008236	missing_exact_ROS_symbol
ENSCAFG00000008255	missing_exact_ROS_symbol
ENSCAFG00000008273	missing_exact_ROS_symbol
ENSCAFG00000008287	missing_exact_ROS_symbol
ENSCAFG00000008290	missing_exact_ROS_symbol
ENSCAFG00000008311	missing_exact_ROS_symbol
ENSCAFG00000008336	missing_exact_ROS_symbol
ENSCAFG00000008338	missing_exact_ROS_symbol
ENSCAFG00000008345	missing_exact_ROS_symbol
ENSCAFG00000008385	missing_exact_ROS_symbol
ENSCAFG00000008403	missing_exact_ROS_symbol
ENSCAFG00000008488	missing_exact_ROS_symbol
ENSCAFG00000008503	missing_exact_ROS_symbol
ENSCAFG00000008532	missing_exact_ROS_symbol
ENSCAFG00000008535	missing_exact_ROS_symbol
ENSCAFG00000008551	missing_exact_ROS_symbol
ENSCAFG00000008564	missing_exact_ROS_symbol
ENSCAFG00000008574	missing_exact_ROS_symbol
ENSCAFG00000008616	missing_exact_ROS_symbol
ENSCAFG00000008627	missing_exact_ROS_symbol
