run	cluster	gene	detected_fraction	mean_UMI
res1.0_seed0	1	CD2	0.02030456852791878	0.02030456852791878
res1.0_seed0	1	CD4	0.0	0.0
res1.0_seed0	1	CD8A	0.0	0.0
res1.0_seed0	1	CD8B	0.01015228426395939	0.01015228426395939
res1.0_seed0	1	LYZ	0.005076142131979695	0.005076142131979695
res1.0_seed0	1	LST1	0.050761421319796954	0.06091370558375635
res1.0_seed0	1	CSF1R	0.1065989847715736	0.15228426395939088
res1.0_seed0	1	MS4A1	0.0	0.0
res1.0_seed0	1	CD79A	0.0	0.0
res1.0_seed0	1	NKG7	0.005076142131979695	0.005076142131979695
res1.0_seed0	1	MKI67	0.015228426395939087	0.015228426395939087
res1.0_seed0	2	CD3D	0.011842105263157895	0.013157894736842105
res1.0_seed0	2	CD3E	0.017105263157894738	0.018421052631578946
res1.0_seed0	2	CD3G	0.009210526315789473	0.010526315789473684
res1.0_seed0	2	CD247	0.014473684210526316	0.014473684210526316
res1.0_seed0	2	LCK	0.002631578947368421	0.002631578947368421
res1.0_seed0	2	CD2	0.031578947368421054	0.03289473684210526
res1.0_seed0	2	CD4	0.0013157894736842105	0.0013157894736842105
res1.0_seed0	2	CD8A	0.0	0.0
res1.0_seed0	2	CD8B	0.009210526315789473	0.009210526315789473
res1.0_seed0	2	LYZ	0.007894736842105263	0.007894736842105263
res1.0_seed0	2	LST1	0.075	0.08157894736842106
res1.0_seed0	2	CSF1R	0.21052631578947367	0.325
res1.0_seed0	2	MS4A1	0.0	0.0
res1.0_seed0	2	CD79A	0.002631578947368421	0.002631578947368421
res1.0_seed0	2	NKG7	0.002631578947368421	0.002631578947368421
res1.0_seed0	2	MKI67	0.039473684210526314	0.04736842105263158
res1.0_seed0	3	CD3D	0.007022471910112359	0.007022471910112359
res1.0_seed0	3	CD3E	0.011235955056179775	0.018258426966292134
res1.0_seed0	3	CD3G	0.008426966292134831	0.008426966292134831
res1.0_seed0	3	CD247	0.011235955056179775	0.01544943820224719
res1.0_seed0	3	LCK	0.014044943820224719	0.014044943820224719
res1.0_seed0	3	CD2	0.009831460674157303	0.011235955056179775
res1.0_seed0	3	CD4	0.0028089887640449437	0.0028089887640449437
res1.0_seed0	3	CD8A	0.0014044943820224719	0.0014044943820224719
res1.0_seed0	3	CD8B	0.011235955056179775	0.014044943820224719
res1.0_seed0	3	LYZ	0.021067415730337078	0.023876404494382022
res1.0_seed0	3	LST1	0.05056179775280899	0.056179775280898875
res1.0_seed0	3	CSF1R	0.11376404494382023	0.17415730337078653
res1.0_seed0	3	MS4A1	0.0	0.0
res1.0_seed0	3	CD79A	0.0014044943820224719	0.0014044943820224719
res1.0_seed0	3	NKG7	0.007022471910112359	0.008426966292134831
res1.0_seed0	3	MKI67	0.06460674157303371	0.22893258426966293
res1.0_seed0	4	CD3D	0.014893617021276596	0.01702127659574468
res1.0_seed0	4	CD3E	0.031914893617021274	0.04468085106382979
res1.0_seed0	4	CD3G	0.019148936170212766	0.02127659574468085
res1.0_seed0	4	CD247	0.010638297872340425	0.010638297872340425
res1.0_seed0	4	LCK	0.014893617021276596	0.014893617021276596
res1.0_seed0	4	CD2	0.07446808510638298	0.08723404255319149
res1.0_seed0	4	CD4	0.006382978723404255	0.006382978723404255
res1.0_seed0	4	CD8A	0.00425531914893617	0.00425531914893617
res1.0_seed0	4	CD8B	0.01276595744680851	0.01276595744680851
res1.0_seed0	4	LYZ	0.07659574468085106	0.1276595744680851
res1.0_seed0	4	LST1	0.251063829787234	0.30851063829787234
res1.0_seed0	4	CSF1R	0.5808510638297872	1.6382978723404256
res1.0_seed0	4	MS4A1	0.0	0.0
res1.0_seed0	4	CD79A	0.002127659574468085	0.002127659574468085
res1.0_seed0	4	NKG7	0.002127659574468085	0.002127659574468085
res1.0_seed0	4	MKI67	0.0851063829787234	0.1702127659574468
res1.0_seed0	5	CD3D	0.028985507246376812	0.04057971014492753
res1.0_seed0	5	CD3E	0.057971014492753624	0.06666666666666667
res1.0_seed0	5	CD3G	0.017391304347826087	0.020289855072463767
res1.0_seed0	5	CD247	0.06086956521739131	0.08115942028985507
res1.0_seed0	5	LCK	0.014492753623188406	0.017391304347826087
res1.0_seed0	5	CD2	0.04057971014492753	0.04057971014492753
res1.0_seed0	5	CD4	0.008695652173913044	0.008695652173913044
res1.0_seed0	5	CD8A	0.0	0.0
res1.0_seed0	5	CD8B	0.03768115942028986	0.03768115942028986
res1.0_seed0	5	LYZ	0.011594202898550725	0.011594202898550725
res1.0_seed0	5	LST1	0.16521739130434782	0.19420289855072465
res1.0_seed0	5	CSF1R	0.336231884057971	0.5449275362318841
res1.0_seed0	5	MS4A1	0.0	0.0
res1.0_seed0	5	CD79A	0.008695652173913044	0.008695652173913044
res1.0_seed0	5	NKG7	0.005797101449275362	0.005797101449275362
res1.0_seed0	5	MKI67	0.48985507246376814	1.4260869565217391
res1.0_seed0	6	CD3D	0.005194805194805195	0.007792207792207792
res1.0_seed0	6	CD3E	0.01818181818181818	0.01818181818181818
res1.0_seed0	6	CD3G	0.007792207792207792	0.007792207792207792
res1.0_seed0	6	CD247	0.012987012987012988	0.01818181818181818
res1.0_seed0	6	LCK	0.005194805194805195	0.005194805194805195
res1.0_seed0	6	CD2	0.0025974025974025974	0.0025974025974025974
res1.0_seed0	6	CD4	0.0	0.0
