gene	sample	reported_donor	mapping_status	raw_count	CPM	observation
NTF3	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
NTF3	B_T_cell	B	exact_unique	0	0.0	zero_assigned_pairs
NTF3	E_B7H3_CAR_T	E	exact_unique	4	0.08078865562466173	positive_assigned_pairs
NTF3	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
NTF3	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
NTF3	M_B7H3_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
NTF3	M_BC_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
NTF3	M_T_cell	M	exact_unique	0	0.0	zero_assigned_pairs
PLEKHG6	B_B7H3_CAR_T	B	exact_unique	44	0.772491832698424	positive_assigned_pairs
PLEKHG6	B_BC_CAR_T	B	exact_unique	16	0.2858788753718011	positive_assigned_pairs
PLEKHG6	B_T_cell	B	exact_unique	24	0.4948982486107742	positive_assigned_pairs
PLEKHG6	E_B7H3_CAR_T	E	exact_unique	75	1.5147872929624073	positive_assigned_pairs
PLEKHG6	E_BC_CAR_T	E	exact_unique	31	0.7842170996261815	positive_assigned_pairs
PLEKHG6	E_T_cell	E	exact_unique	61	1.6399986310044214	positive_assigned_pairs
PLEKHG6	M_B7H3_CAR_T	M	exact_unique	10	0.21019398361340316	positive_assigned_pairs
PLEKHG6	M_BC_CAR_T	M	exact_unique	8	0.1774765054938185	positive_assigned_pairs
PLEKHG6	M_T_cell	M	exact_unique	24	0.5328189972350912	positive_assigned_pairs
PPA2	B_B7H3_CAR_T	B	exact_unique	3340	58.63915275483492	positive_assigned_pairs
PPA2	B_BC_CAR_T	B	exact_unique	2920	52.1728947553537	positive_assigned_pairs
PPA2	B_T_cell	B	exact_unique	2481	51.160106450138784	positive_assigned_pairs
PPA2	E_B7H3_CAR_T	E	exact_unique	2830	57.157973854448166	positive_assigned_pairs
PPA2	E_BC_CAR_T	E	exact_unique	2263	57.247848272711245	positive_assigned_pairs
PPA2	E_T_cell	E	exact_unique	2247	60.411097112572705	positive_assigned_pairs
PPA2	M_B7H3_CAR_T	M	exact_unique	1850	38.88588696847958	positive_assigned_pairs
PPA2	M_BC_CAR_T	M	exact_unique	2221	49.27191483772136	positive_assigned_pairs
PPA2	M_T_cell	M	exact_unique	2205	48.95274537097401	positive_assigned_pairs
RGL1	B_B7H3_CAR_T	B	exact_unique	131	2.2999188655339444	positive_assigned_pairs
RGL1	B_BC_CAR_T	B	exact_unique	87	1.5544663848341684	positive_assigned_pairs
RGL1	B_T_cell	B	exact_unique	62	1.2784871422445	positive_assigned_pairs
RGL1	E_B7H3_CAR_T	E	exact_unique	57	1.1512383426514297	positive_assigned_pairs
RGL1	E_BC_CAR_T	E	exact_unique	93	2.3526512988785444	positive_assigned_pairs
RGL1	E_T_cell	E	exact_unique	7	0.18819656421362213	positive_assigned_pairs
RGL1	M_B7H3_CAR_T	M	exact_unique	279	5.864412142813948	positive_assigned_pairs
RGL1	M_BC_CAR_T	M	exact_unique	234	5.191187785694191	positive_assigned_pairs
RGL1	M_T_cell	M	exact_unique	144	3.196913983410547	positive_assigned_pairs
SMG7	B_B7H3_CAR_T	B	exact_unique	12915	226.74390952954877	positive_assigned_pairs
