gene	comparison	reported_donor	numerator_CPM	denominator_CPM	log2_ratio	status
NPNT	dual_vs_control	B	0.0	0.12372456215269355		zero_no_ratio
NPNT	dual_vs_control	E	0.0	0.026885223459088878		zero_no_ratio
NPNT	dual_vs_control	M	0.11092281593363656	0.28861029016900774	-1.3795665920607176	descriptive_both_positive
NPNT	dual_vs_single	B	0.0	0.05266989768398346		zero_no_ratio
NPNT	dual_vs_single	E	0.0	0.02019716390616543		zero_no_ratio
NPNT	dual_vs_single	M	0.11092281593363656	0.021019398361340317	2.399762866108243	descriptive_both_positive
NTF3	single_vs_control	B	0.0	0.0		zero_no_ratio
NTF3	single_vs_control	E	0.08078865562466173	0.0		zero_no_ratio
NTF3	single_vs_control	M	0.0	0.0		zero_no_ratio
NTF3	dual_vs_control	B	0.0	0.0		zero_no_ratio
NTF3	dual_vs_control	E	0.0	0.0		zero_no_ratio
NTF3	dual_vs_control	M	0.0	0.0		zero_no_ratio
NTF3	dual_vs_single	B	0.0	0.0		zero_no_ratio
NTF3	dual_vs_single	E	0.0	0.08078865562466173		zero_no_ratio
NTF3	dual_vs_single	M	0.0	0.0		zero_no_ratio
PLEKHG6	single_vs_control	B	0.772491832698424	0.4948982486107742	0.6423877432799078	descriptive_both_positive
PLEKHG6	single_vs_control	E	1.5147872929624073	1.6399986310044214	-0.11457938644263824	descriptive_both_positive
PLEKHG6	single_vs_control	M	0.21019398361340316	0.5328189972350912	-1.341924145861662	descriptive_both_positive
PLEKHG6	dual_vs_control	B	0.2858788753718011	0.4948982486107742	-0.7917279187462924	descriptive_both_positive
PLEKHG6	dual_vs_control	E	0.7842170996261815	1.6399986310044214	-1.0643696056916376	descriptive_both_positive
PLEKHG6	dual_vs_control	M	0.1774765054938185	0.5328189972350912	-1.586017469528144	descriptive_both_positive
PLEKHG6	dual_vs_single	B	0.2858788753718011	0.772491832698424	-1.4341156620262003	descriptive_both_positive
PLEKHG6	dual_vs_single	E	0.7842170996261815	1.5147872929624073	-0.9497902192489994	descriptive_both_positive
PLEKHG6	dual_vs_single	M	0.1774765054938185	0.21019398361340316	-0.244093323666482	descriptive_both_positive
PPA2	single_vs_control	B	58.63915275483492	51.160106450138784	0.19684499283275045	descriptive_both_positive
PPA2	single_vs_control	E	57.157973854448166	60.411097112572705	-0.07985881083629541	descriptive_both_positive
PPA2	single_vs_control	M	38.88588696847958	48.95274537097401	-0.33214312506907673	descriptive_both_positive
PPA2	dual_vs_control	B	52.1728947553537	51.160106450138784	0.02828121584981212	descriptive_both_positive
PPA2	dual_vs_control	E	57.247848272711245	60.411097112572705	-0.07759211842864122	descriptive_both_positive
